EEGNET     , relu      ,3.00E-04,0.4,260,0.8333
EEGNET     , relu      ,3.00E-04,0.1,290,0.8333
EEGNET     , relu      ,3.00E-04,0.5,221,0.8333
EEGNET     , elu       ,3.00E-04,0.2,220,0.8333
EEGNET     , relu      ,4.00E-04,0.6,269,0.8333
EEGNET     , elu       ,4.00E-04,0.3,243,0.8333
EEGNET     , leaky_relu,4.00E-04,0.6,300,0.8333
EEGNET     , leaky_relu,4.00E-04,0.5,188,0.8333
EEGNET     , leaky_relu,1.00E-04,0.2,226,0.8324
EEGNET     , leaky_relu,1.00E-04,0.4,297,0.8324
EEGNET     , leaky_relu,2.00E-04,0.5,287,0.8324
EEGNET     , relu      ,2.00E-04,0.5,255,0.8324
EEGNET     , leaky_relu,2.00E-04,0.5,279,0.8324
EEGNET     , leaky_relu,3.00E-04,0.1,195,0.8324
EEGNET     , elu       ,4.00E-04,0.2,285,0.8324
EEGNET     , elu       ,4.00E-04,0.2,221,0.8324
EEGNET     , leaky_relu,1.00E-04,0.1,200,0.8315
EEGNET     , relu      ,1.00E-04,0.3,272,0.8315
EEGNET     , elu       ,2.00E-04,0.3,275,0.8315
EEGNET     , leaky_relu,2.00E-04,0.5,296,0.8315
EEGNET     , leaky_relu,3.00E-04,0.6,298,0.8315
EEGNET     , relu      ,3.00E-04,0.2,284,0.8315
EEGNET     , leaky_relu,4.00E-04,0.5,219,0.8315
EEGNET     , elu       ,4.00E-04,0.3,271,0.8315
EEGNET     , relu      ,4.00E-04,0.7,282,0.8315
EEGNET     , elu       ,5.00E-04,0.2,168,0.8315
EEGNET     , relu      ,5.00E-04,0.7,288,0.8315
EEGNET     , relu      ,1.00E-04,0.3,286,0.8306
EEGNET     , relu      ,2.00E-04,0.1,235,0.8306
EEGNET     , leaky_relu,2.00E-04,0.3,187,0.8306
EEGNET     , elu       ,3.00E-04,0.2,300,0.8306
EEGNET     , relu      ,3.00E-04,0.2,273,0.8306
EEGNET     , elu       ,4.00E-04,0.2,161,0.8306
EEGNET     , elu       ,4.00E-04,0.6,297,0.8306
EEGNET     , elu       ,4.00E-04,0.4,222,0.8306
EEGNET     , leaky_relu,1.00E-03,0,88,0.8296
EEGNET     , relu      ,1.00E-04,0.2,292,0.8296
EEGNET     , leaky_relu,1.00E-04,0.4,284,0.8296
EEGNET     , relu      ,1.00E-04,0.1,288,0.8296
EEGNET     , leaky_relu,1.00E-04,0.3,296,0.8296
EEGNET     , leaky_relu,1.00E-04,0.2,275,0.8296
EEGNET     , relu      ,2.00E-04,0.5,263,0.8296
